YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
97,01,01,00,999,99.0,99.0,4.64,12.50,7.77,999,1010.7,14.0,12.8,999.0,99.0
97,01,01,01,999,99.0,99.0,4.19,12.50,7.28,999,1009.5,13.9,12.8,999.0,99.0
97,01,01,02,999,99.0,99.0,4.24,12.50,7.47,999,1009.3,13.9,12.8,999.0,99.0
97,01,01,03,999,99.0,99.0,4.51,12.50,7.23,999,1008.8,14.0,12.8,999.0,99.0
97,01,01,04,999,99.0,99.0,4.95,8.33,7.35,999,1008.0,14.0,12.8,999.0,99.0
97,01,01,05,999,99.0,99.0,5.22,8.33,7.52,999,1008.0,14.2,12.8,999.0,99.0
97,01,01,06,999,99.0,99.0,5.00,9.09,7.52,999,1008.5,14.3,12.8,999.0,99.0
97,01,01,07,999,99.0,99.0,99.00,99.00,99.00,999,1008.2,14.3,12.8,999.0,99.0
97,01,01,08,999,99.0,99.0,99.00,99.00,99.00,999,1008.9,14.1,12.8,999.0,99.0
97,01,01,09,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,01,10,999,99.0,99.0,5.29,10.00,7.97,999,1010.1,14.0,12.8,999.0,99.0
97,01,01,11,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,01,12,999,99.0,99.0,99.00,99.00,99.00,999,1010.3,14.1,12.8,999.0,99.0
97,01,01,13,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,01,14,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,01,15,999,99.0,99.0,4.08,14.29,8.61,999,1010.4,13.8,12.7,999.0,99.0
97,01,01,16,999,99.0,99.0,3.83,14.29,8.49,999,1011.2,13.8,12.7,999.0,99.0
97,01,01,17,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,01,18,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,01,19,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,01,20,999,99.0,99.0,3.95,14.29,8.73,999,1011.1,13.8,12.6,999.0,99.0
97,01,01,21,999,99.0,99.0,99.00,99.00,99.00,999,1011.0,13.9,12.6,999.0,99.0
97,01,01,22,999,99.0,99.0,4.26,14.29,9.43,999,1010.2,13.7,12.6,999.0,99.0
97,01,01,23,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,02,00,999,99.0,99.0,4.63,14.29,9.46,999,1010.0,13.8,12.7,999.0,99.0
97,01,02,01,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,02,02,999,99.0,99.0,99.00,99.00,99.00,999,1011.3,13.8,12.8,999.0,99.0
97,01,02,03,999,99.0,99.0,4.33,14.29,9.69,999,1011.5,13.7,13.0,999.0,99.0
97,01,02,04,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,02,05,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,02,06,999,99.0,99.0,3.95,14.29,9.27,999,1012.5,14.0,13.0,999.0,99.0
97,01,02,07,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,02,08,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,02,09,999,99.0,99.0,4.02,14.29,10.28,999,1012.1,13.7,13.0,999.0,99.0
97,01,02,10,999,99.0,99.0,99.00,99.00,99.00,999,1011.8,13.4,13.0,999.0,99.0
97,01,02,11,999,99.0,99.0,99.00,99.00,99.00,999,1013.6,13.5,13.1,999.0,99.0
97,01,02,12,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,02,13,999,99.0,99.0,3.57,14.29,10.12,999,1013.4,13.2,13.1,999.0,99.0
97,01,02,14,999,99.0,99.0,99.00,99.00,99.00,999,1012.8,13.4,13.0,999.0,99.0
97,01,02,15,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,02,16,999,99.0,99.0,99.00,99.00,99.00,999,1013.4,13.0,13.0,999.0,99.0
97,01,02,17,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,02,18,999,99.0,99.0,4.08,14.29,10.29,999,1014.1,12.9,13.0,999.0,99.0
97,01,02,19,999,99.0,99.0,99.00,99.00,99.00,999,1014.1,12.9,13.0,999.0,99.0
97,01,02,20,999,99.0,99.0,4.33,14.29,10.35,999,1013.3,13.2,13.1,999.0,99.0
97,01,02,21,999,99.0,99.0,4.27,14.29,10.10,999,1013.1,13.2,13.1,999.0,99.0
97,01,02,22,999,99.0,99.0,4.11,14.29,10.05,999,1012.8,13.1,13.2,999.0,99.0
97,01,02,23,999,99.0,99.0,3.96,14.29,9.77,999,1012.6,13.1,13.2,999.0,99.0
97,01,03,00,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,03,01,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,03,02,999,99.0,99.0,3.75,12.50,9.59,999,1012.4,12.9,13.2,999.0,99.0
97,01,03,03,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,03,04,999,99.0,99.0,99.00,99.00,99.00,999,1012.5,13.4,13.2,999.0,99.0
97,01,03,05,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,03,06,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,03,07,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,03,08,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,03,09,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,03,10,999,99.0,99.0,99.00,99.00,99.00,999,1015.6,13.1,13.2,999.0,99.0
97,01,03,11,999,99.0,99.0,99.00,99.00,99.00,999,1016.8,13.0,13.2,999.0,99.0
97,01,03,12,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,03,13,999,99.0,99.0,99.00,99.00,99.00,999,1017.9,12.6,13.1,999.0,99.0
97,01,03,14,999,99.0,99.0,99.00,99.00,99.00,999,1018.5,12.5,13.1,999.0,99.0
97,01,03,15,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,03,16,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,03,17,999,99.0,99.0,3.25,12.50,7.96,999,1021.6,12.1,13.0,999.0,99.0
97,01,03,18,999,99.0,99.0,99.00,99.00,99.00,999,1022.4,12.0,13.0,999.0,99.0
97,01,03,19,999,99.0,99.0,3.34,14.29,8.12,999,1022.5,12.0,13.1,999.0,99.0
97,01,03,20,999,99.0,99.0,2.78,14.29,7.34,999,1022.1,11.8,12.9,999.0,99.0
97,01,03,21,999,99.0,99.0,3.31,12.50,7.86,999,1021.7,11.9,12.9,999.0,99.0
97,01,03,22,999,99.0,99.0,3.30,14.29,8.02,999,1020.8,11.7,12.9,999.0,99.0
97,01,03,23,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
97,01,04,00,999,99.0,99.0,3.33,12.50,7.23,999,1019.7,11.6,12.9,999.0,99.0
97,01,04,01,999,99.0,99.0,3.20,12.50,7.07,999,1019.8,11.5,12.9,999.0,99.0
97,01,04,02,999,99.0,99.0,3.09,14.29,7.50,999,1019.9,11.5,12.9,999.0,99.0
97,01,04,03,999,99.0,99.0,3.15,12.50,7.45,999,1020.8,11.4,12.8,999.0,99.0
97,01,04,04,999,99.0,99.0,2.83,14.29,7.03,999,1021.2,11.3,12.8,999.0,99.0
97,01,04,05,999,99.0,99.0,3.08,12.50,7.39,999,1021.3,11.2,12.7,999.0,99.0
