YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2003,01,01,00,298,5.0,6.6,4.54,14.29,9.58,999,1023.8,12.6,12.5,999.0,99.0,99.00
2003,01,01,01,309,4.3,5.9,4.51,12.50,9.21,999,1024.0,12.4,12.5,999.0,99.0,99.00
2003,01,01,02,317,3.6,5.2,4.52,14.29,9.61,999,1024.7,12.3,12.5,999.0,99.0,99.00
2003,01,01,03,303,3.9,5.4,4.60,14.29,9.42,999,1025.0,12.3,12.5,999.0,99.0,99.00
2003,01,01,04,300,4.5,6.5,4.33,12.50,9.53,999,1025.1,12.2,12.5,999.0,99.0,99.00
2003,01,01,05,314,3.5,4.8,4.73,12.50,9.42,999,1025.0,12.1,12.5,999.0,99.0,99.00
2003,01,01,06,329,3.5,4.9,4.64,14.29,9.46,999,1025.2,12.1,12.5,999.0,99.0,99.00
2003,01,01,07,49,3.1,5.0,5.00,12.50,9.88,999,1024.9,11.8,12.5,999.0,99.0,99.00
2003,01,01,08,61,1.8,5.0,5.56,14.29,10.34,999,1025.0,11.6,12.5,999.0,99.0,99.00
2003,01,01,09,88,1.1,3.5,5.06,14.29,10.11,999,1025.1,11.6,12.5,999.0,99.0,99.00
2003,01,01,10,89,3.2,5.3,4.37,14.29,9.93,999,1025.3,11.5,12.5,999.0,99.0,99.00
2003,01,01,11,97,3.5,6.9,5.11,12.50,10.37,999,1025.6,11.1,12.5,999.0,99.0,99.00
2003,01,01,12,100,3.2,5.6,4.66,12.50,10.21,999,1025.7,10.7,12.5,999.0,99.0,99.00
2003,01,01,13,99,4.0,6.5,5.08,12.50,10.63,999,1025.2,10.5,12.5,999.0,99.0,99.00
2003,01,01,14,105,4.4,7.1,4.43,12.50,10.34,999,1025.2,10.5,12.5,999.0,99.0,99.00
2003,01,01,15,96,5.5,7.3,3.93,16.67,10.09,999,1025.2,10.1,12.5,999.0,99.0,99.00
2003,01,01,16,92,6.3,8.9,4.03,14.29,10.44,999,1025.4,10.0,12.5,999.0,99.0,99.00
2003,01,01,17,97,6.3,8.3,4.11,16.67,10.71,999,1025.8,10.5,12.5,999.0,99.0,99.00
2003,01,01,18,95,5.7,8.5,3.79,16.67,10.09,999,1026.2,10.9,12.6,999.0,99.0,99.00
2003,01,01,19,88,6.0,8.3,3.96,16.67,10.60,999,1026.6,10.4,12.6,999.0,99.0,99.00
2003,01,01,20,93,4.8,6.9,3.61,16.67,9.96,999,1025.7,10.2,12.7,999.0,99.0,99.00
2003,01,01,21,86,3.0,4.7,3.24,14.29,9.96,999,1025.1,10.8,12.7,999.0,99.0,99.00
2003,01,01,22,91,3.0,5.2,3.79,16.67,10.88,999,1024.4,11.4,12.8,999.0,99.0,99.00
2003,01,01,23,92,3.9,6.0,3.41,14.29,10.33,999,1023.7,11.8,12.9,999.0,99.0,99.00
2003,01,02,00,98,4.4,6.3,3.57,14.29,10.96,999,1023.5,12.2,12.9,999.0,99.0,99.00
2003,01,02,01,66,2.2,4.0,3.37,14.29,10.35,999,1024.2,12.6,12.8,999.0,99.0,99.00
2003,01,02,02,89,5.9,8.3,3.46,14.29,10.60,999,1023.1,12.4,12.8,999.0,99.0,99.00
2003,01,02,03,83,5.3,7.3,3.25,14.29,10.23,999,1023.5,12.2,12.8,999.0,99.0,99.00
2003,01,02,04,99,8.3,10.6,3.35,14.29,10.19,999,1022.6,12.0,12.8,999.0,99.0,99.00
2003,01,02,05,105,9.0,12.4,3.20,14.29,9.03,999,1022.1,12.0,12.8,999.0,99.0,99.00
2003,01,02,06,98,4.7,6.4,3.12,16.67,9.09,999,1023.3,11.9,12.8,999.0,99.0,99.00
2003,01,02,07,102,7.5,9.8,3.35,14.29,9.75,999,1022.8,11.8,12.8,999.0,99.0,99.00
2003,01,02,08,98,5.7,7.7,3.45,14.29,10.34,999,1023.5,11.9,12.8,999.0,99.0,99.00
2003,01,02,09,102,7.3,9.6,2.69,14.29,9.09,999,1023.2,11.9,12.8,999.0,99.0,99.00
2003,01,02,10,95,7.2,10.6,2.74,16.67,9.37,999,1023.2,11.9,12.8,999.0,99.0,99.00
2003,01,02,11,84,7.4,10.2,2.40,16.67,8.58,999,1023.1,11.9,12.9,999.0,99.0,99.00
2003,01,02,12,86,8.0,10.4,2.51,16.67,8.62,999,1023.1,11.1,12.9,999.0,99.0,99.00
2003,01,02,13,91,9.6,12.1,2.42,16.67,7.63,999,1022.1,11.1,12.9,999.0,99.0,99.00
2003,01,02,14,96,9.1,11.8,2.59,16.67,8.29,999,1021.7,11.5,12.9,999.0,99.0,99.00
2003,01,02,15,95,10.5,12.9,2.30,16.67,7.24,999,1020.9,11.9,12.9,999.0,99.0,99.00
2003,01,02,16,94,9.6,12.7,2.60,16.67,7.69,999,1021.2,11.8,12.9,999.0,99.0,99.00
2003,01,02,17,90,8.2,10.2,2.63,16.67,8.09,999,1022.1,11.9,12.8,999.0,99.0,99.00
2003,01,02,18,90,7.3,9.6,2.94,16.67,8.81,999,1023.0,12.1,12.8,999.0,99.0,99.00
2003,01,02,19,89,7.3,9.4,2.73,14.29,8.71,999,1023.0,11.9,12.8,999.0,99.0,99.00
2003,01,02,20,84,8.8,11.0,2.73,14.29,8.37,999,1022.2,11.5,12.8,999.0,99.0,99.00
2003,01,02,21,86,9.2,11.1,2.99,14.29,8.81,999,1021.1,12.1,12.8,999.0,99.0,99.00
2003,01,02,22,84,9.8,12.1,3.25,16.67,8.97,999,1019.9,12.4,12.8,999.0,99.0,99.00
2003,01,02,23,87,4.3,7.2,3.52,14.29,9.74,999,1021.7,12.6,12.8,999.0,99.0,99.00
2003,01,03,00,90,4.1,6.3,3.59,12.50,10.17,999,1022.0,12.9,12.9,999.0,99.0,99.00
2003,01,03,01,90,4.0,5.8,3.44,14.29,10.21,999,1022.3,13.0,12.9,999.0,99.0,99.00
2003,01,03,02,85,4.1,6.0,3.26,12.50,10.30,999,1022.3,12.8,12.9,999.0,99.0,99.00
