YY,MM,DD,hh,mm,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2005,01,01,00,00,210,7.7,9.9,2.97,12.90,7.23,999,1008.9,10.9,12.5,999.0,99.0,99.00
2005,01,01,01,00,263,7.3,9.5,2.88,13.79,7.05,999,1009.3,8.9,12.5,999.0,99.0,99.00
2005,01,01,02,00,256,6.9,8.6,3.03,13.79,7.49,999,1009.2,10.2,12.5,999.0,99.0,99.00
2005,01,01,03,00,271,6.7,8.5,2.92,12.90,7.47,999,1009.6,10.8,12.5,999.0,99.0,99.00
2005,01,01,04,00,269,8.4,10.3,2.82,12.90,7.24,999,1010.0,11.1,12.4,999.0,99.0,99.00
2005,01,01,05,00,269,8.9,10.8,3.12,12.90,7.56,999,1010.3,10.7,12.4,999.0,99.0,99.00
2005,01,01,06,00,274,8.5,11.0,3.17,12.90,7.50,999,1011.1,10.1,12.4,999.0,99.0,99.00
2005,01,01,07,00,273,6.6,8.7,3.08,12.90,7.52,999,1011.9,10.1,12.4,999.0,99.0,99.00
2005,01,01,08,00,272,7.7,9.7,3.16,12.90,7.67,999,1012.1,10.6,12.4,999.0,99.0,99.00
2005,01,01,09,00,277,6.8,8.8,3.25,12.90,7.74,999,1012.1,10.4,12.3,999.0,99.0,99.00
2005,01,01,10,00,265,6.6,8.3,3.29,12.12,7.75,999,1012.3,10.5,12.4,999.0,99.0,99.00
2005,01,01,11,00,277,6.8,8.6,3.00,12.90,7.73,999,1012.8,10.6,12.4,999.0,99.0,99.00
2005,01,01,12,00,261,6.8,8.5,3.44,12.12,8.12,999,1013.1,10.5,12.5,999.0,99.0,99.00
2005,01,01,13,00,251,7.7,11.5,2.86,11.43,7.73,999,1013.3,10.4,12.4,999.0,99.0,99.00
2005,01,01,14,00,234,5.5,7.3,3.20,11.43,7.93,999,1013.8,10.1,12.4,999.0,99.0,99.00
2005,01,01,15,00,240,4.5,6.3,3.25,10.81,8.18,999,1014.4,10.4,12.4,999.0,99.0,99.00
2005,01,01,16,00,224,5.1,6.4,3.22,11.43,7.88,999,1014.8,10.4,12.4,999.0,99.0,99.00
2005,01,01,17,00,199,4.5,5.7,3.20,11.43,7.85,999,1015.4,10.6,12.4,999.0,99.0,99.00
2005,01,01,18,00,217,3.7,5.2,3.13,11.43,7.79,999,1016.4,9.0,12.4,999.0,99.0,99.00
2005,01,01,19,00,243,5.7,6.9,2.86,10.81,7.47,999,1016.6,10.4,12.4,999.0,99.0,99.00
2005,01,01,20,00,231,5.7,6.7,2.78,11.43,7.50,999,1016.3,10.7,12.5,999.0,99.0,99.00
2005,01,01,21,00,246,9.7,13.1,3.09,11.43,7.88,999,1015.7,9.4,12.5,999.0,99.0,99.00
2005,01,01,22,00,240,5.6,6.8,3.06,11.43,7.85,999,1015.4,10.7,12.5,999.0,99.0,99.00
2005,01,01,23,00,225,6.1,7.3,3.15,12.12,7.76,999,1015.4,10.5,12.5,999.0,99.0,99.00
2005,01,02,00,00,253,5.1,6.5,3.25,12.12,8.16,999,1015.2,10.9,12.5,999.0,99.0,99.00
2005,01,02,01,00,210,4.3,5.8,2.63,10.81,7.35,999,1015.2,10.5,12.4,999.0,99.0,99.00
2005,01,02,02,00,191,5.0,6.2,2.86,12.12,7.99,999,1015.3,10.5,12.4,999.0,99.0,99.00
2005,01,02,03,00,293,1.9,3.8,2.92,12.12,8.15,999,1015.5,9.1,12.4,999.0,99.0,99.00
2005,01,02,04,00,233,1.9,3.0,2.37,11.43,7.81,999,1015.6,10.3,12.4,999.0,99.0,99.00
2005,01,02,05,00,218,4.8,5.9,2.57,11.43,7.98,999,1015.4,10.7,12.4,999.0,99.0,99.00
2005,01,02,06,00,238,5.8,7.8,2.44,11.43,7.66,999,1015.4,10.3,12.5,999.0,99.0,99.00
2005,01,02,07,00,261,3.6,4.7,2.30,10.81,7.51,999,1015.4,9.8,12.5,999.0,99.0,99.00
2005,01,02,08,00,196,6.5,8.1,2.31,11.43,7.61,999,1015.3,9.2,12.5,999.0,99.0,99.00
2005,01,02,09,00,196,5.2,6.8,2.76,12.12,8.34,999,1014.5,10.3,12.5,999.0,99.0,99.00
2005,01,02,10,00,210,5.8,7.0,2.58,12.12,7.85,999,1014.1,10.2,12.5,999.0,99.0,99.00
2005,01,02,11,00,284,6.7,8.0,2.46,11.43,7.52,999,1013.7,9.0,12.4,999.0,99.0,99.00
2005,01,02,12,00,237,3.2,4.1,2.52,11.43,7.76,999,1013.5,9.7,12.4,999.0,99.0,99.00
2005,01,02,13,00,264,3.3,4.5,2.93,12.12,8.38,999,1012.9,10.1,12.4,999.0,99.0,99.00
2005,01,02,14,00,14,1.3,3.0,3.12,11.43,8.33,999,1012.8,8.5,12.4,999.0,99.0,99.00
2005,01,02,15,00,124,0.7,2.0,2.93,11.43,8.34,999,1012.6,9.5,12.3,999.0,99.0,99.00
2005,01,02,16,00,217,0.4,2.5,2.91,12.12,8.48,999,1012.5,9.9,12.2,999.0,99.0,99.00
2005,01,02,17,00,84,3.7,5.7,3.30,12.12,8.95,999,1012.7,9.6,12.1,999.0,99.0,99.00
2005,01,02,18,00,87,4.8,6.6,3.06,12.12,8.69,999,1012.8,9.6,12.1,999.0,99.0,99.00
2005,01,02,19,00,80,7.3,8.8,3.21,12.90,8.76,999,1012.7,9.3,12.2,999.0,99.0,99.00
2005,01,02,20,00,67,6.1,7.8,2.96,12.12,8.45,999,1012.0,9.3,12.3,999.0,99.0,99.00
2005,01,02,21,00,70,3.7,5.2,2.89,12.90,8.59,999,1011.1,9.1,12.4,999.0,99.0,99.00
2005,01,02,22,00,151,3.8,6.1,2.69,12.90,8.51,999,1010.3,8.5,12.3,999.0,99.0,99.00
2005,01,02,23,00,94,5.5,7.0,2.64,12.12,8.23,999,1010.1,8.8,12.2,999.0,99.0,99.00
2005,01,03,00,00,63,2.9,4.5,2.44,12.90,8.28,999,1009.8,8.5,12.2,999.0,99.0,99.00
2005,01,03,01,00,66,6.4,7.3,2.37,12.90,7.88,999,1009.4,8.6,12.3,999.0,99.0,99.00
2005,01,03,02,00,42,5.8,6.9,2.47,12.90,7.66,999,1009.2,8.2,12.3,999.0,99.0,99.00
2005,01,03,03,00,37,7.0,8.4,2.36,11.43,7.69,999,1008.8,8.3,12.3,999.0,99.0,99.00
2005,01,03,04,00,37,6.9,8.4,2.73,12.90,8.08,999,1008.7,8.2,12.3,999.0,99.0,99.00
2005,01,03,05,00,47,6.1,7.8,2.54,12.90,7.76,999,1008.7,8.1,12.3,999.0,99.0,99.00
2005,01,03,06,00,76,8.5,10.3,2.33,12.12,6.77,999,1008.5,8.6,12.3,999.0,99.0,99.00
2005,01,03,07,00,100,7.5,9.6,2.72,12.12,7.88,999,1008.8,8.8,12.4,999.0,99.0,99.00
2005,01,03,08,00,96,9.0,10.8,2.16,12.12,6.72,999,1008.8,9.0,12.3,999.0,99.0,99.00
2005,01,03,09,00,151,7.9,10.6,2.52,12.90,7.28,999,1008.5,9.4,12.4,999.0,99.0,99.00
2005,01,03,10,00,187,6.7,8.7,2.23,12.12,7.10,999,1008.4,9.0,12.4,999.0,99.0,99.00
2005,01,03,11,00,168,4.6,6.2,2.26,12.12,7.45,999,1009.1,8.6,12.4,999.0,99.0,99.00
2005,01,03,12,00,146,6.6,9.4,2.73,10.81,8.16,999,1009.1,9.1,12.4,999.0,99.0,99.00
2005,01,03,13,00,161,7.1,8.7,2.50,12.12,8.23,999,1009.2,9.2,12.4,999.0,99.0,99.00
2005,01,03,14,00,173,6.7,8.1,2.65,11.43,8.28,999,1009.4,9.3,12.4,999.0,99.0,99.00
2005,01,03,15,00,168,5.8,7.1,2.59,11.43,8.31,999,1010.1,9.1,12.4,999.0,99.0,99.00
2005,01,03,16,00,146,4.7,6.6,2.47,10.81,8.47,999,1010.5,9.3,12.5,999.0,99.0,99.00
2005,01,03,17,00,88,7.3,9.1,2.43,21.05,8.19,999,1010.9,9.3,12.6,999.0,99.0,99.00
2005,01,03,18,00,99,5.5,7.4,2.28,10.81,8.09,999,1011.5,9.5,12.6,999.0,99.0,99.00
2005,01,03,19,00,97,6.2,7.6,2.35,11.43,8.29,999,1011.4,9.4,12.7,999.0,99.0,99.00
2005,01,03,20,00,96,4.3,5.6,2.18,10.81,8.24,999,1010.5,9.7,12.7,999.0,99.0,99.00
2005,01,03,21,00,86,3.6,5.1,2.00,10.00,8.11,999,1009.9,9.8,12.8,999.0,99.0,99.00
2005,01,03,22,00,90,3.0,4.4,1.99,10.00,8.50,999,1009.5,10.4,12.8,999.0,99.0,99.00
2005,01,03,23,00,77,1.0,2.1,2.36,19.05,9.51,999,1009.4,10.5,12.9,999.0,99.0,99.00
2005,01,04,00,00,75,4.0,5.5,2.16,10.81,8.60,999,1009.4,10.0,12.8,999.0,99.0,99.00
