YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2011,12,31,23,50,346,1.7,2.5,2.85,11.43,9.50,999,1021.8,11.1,11.5,999.0,99.0,99.00
2012,01,01,00,50,20,0.4,1.1,2.74,11.43,9.53,999,1021.9,10.8,11.4,999.0,99.0,99.00
2012,01,01,01,50,298,1.8,3.1,2.97,13.79,9.88,999,1021.7,10.8,11.3,999.0,99.0,99.00
2012,01,01,02,50,355,1.1,1.8,2.47,13.79,9.14,999,1021.4,10.7,11.2,999.0,99.0,99.00
2012,01,01,03,50,316,3.6,4.7,2.58,11.43,9.46,999,1021.4,10.8,11.1,999.0,99.0,99.00
2012,01,01,04,50,331,3.8,4.5,2.61,12.90,9.85,999,1021.5,10.8,11.1,999.0,99.0,99.00
2012,01,01,05,50,30,4.0,5.0,2.81,12.12,10.01,999,1021.2,10.9,11.0,999.0,99.0,99.00
2012,01,01,06,50,44,3.2,4.4,2.46,12.90,10.14,999,1021.4,10.8,11.0,999.0,99.0,99.00
2012,01,01,07,50,77,5.7,7.0,2.31,12.12,9.80,999,1021.3,11.0,11.0,999.0,99.0,99.00
2012,01,01,08,50,88,7.4,9.0,2.28,12.12,8.83,999,1020.8,10.6,11.0,999.0,99.0,99.00
2012,01,01,09,50,88,7.9,10.6,2.30,13.79,8.69,999,1020.5,10.2,10.9,999.0,99.0,99.00
2012,01,01,10,50,82,9.5,11.3,2.40,12.90,8.03,999,1020.0,10.4,10.9,999.0,99.0,99.00
2012,01,01,11,50,76,9.5,11.6,2.41,12.12,8.06,999,1019.9,10.2,10.9,999.0,99.0,99.00
2012,01,01,12,50,81,9.2,11.6,2.65,12.12,8.31,999,1019.1,10.3,10.9,999.0,99.0,99.00
2012,01,01,13,50,88,10.4,13.6,2.16,11.43,6.85,999,1019.0,10.8,10.9,999.0,99.0,99.00
2012,01,01,14,50,83,8.5,10.1,1.88,11.43,6.29,999,1019.7,10.6,10.9,999.0,99.0,99.00
2012,01,01,15,50,88,9.0,11.6,2.08,12.12,6.67,999,1020.2,10.8,10.9,999.0,99.0,99.00
2012,01,01,16,50,82,8.5,10.7,1.88,11.43,6.48,999,1020.7,10.5,10.9,999.0,99.0,99.00
2012,01,01,17,50,77,7.6,9.3,1.90,12.12,6.31,999,1021.3,11.0,10.8,999.0,99.0,99.00
2012,01,01,18,50,80,8.1,10.1,1.70,12.90,6.65,999,1020.9,11.7,10.8,999.0,99.0,99.00
2012,01,01,19,50,80,8.3,10.6,1.86,13.79,6.49,999,1019.9,12.5,10.8,999.0,99.0,99.00
2012,01,01,20,50,86,7.1,8.7,1.75,12.12,6.03,999,1019.4,13.0,10.9,999.0,99.0,99.00
2012,01,01,21,50,96,6.7,7.9,1.56,12.12,6.33,999,1019.0,13.9,11.3,999.0,99.0,99.00
2012,01,01,22,50,96,6.9,7.9,1.51,12.90,6.47,999,1018.6,14.0,11.4,999.0,99.0,99.00
2012,01,01,23,50,98,6.7,8.0,1.49,12.90,6.40,999,1018.6,14.2,11.4,999.0,99.0,99.00
2012,01,02,00,50,98,5.5,6.5,1.35,12.90,6.51,999,1018.7,13.4,11.3,999.0,99.0,99.00
2012,01,02,01,50,98,6.4,7.8,1.36,13.79,6.72,999,1018.7,13.0,11.2,999.0,99.0,99.00
2012,01,02,02,50,109,7.5,8.8,1.30,12.90,6.11,999,1019.1,12.7,11.1,999.0,99.0,99.00
2012,01,02,03,50,109,6.8,8.0,1.22,12.90,5.78,999,1019.6,12.5,11.2,999.0,99.0,99.00
2012,01,02,04,50,103,6.2,7.4,1.27,12.90,5.73,999,1019.6,12.5,11.3,999.0,99.0,99.00
2012,01,02,05,50,116,6.4,7.9,1.12,12.12,5.74,999,1020.1,12.7,11.3,999.0,99.0,99.00
2012,01,02,08,50,152,10.4,12.3,1.28,12.12,4.86,999,1021.1,10.9,11.4,999.0,99.0,99.00
2012,01,02,09,50,152,8.1,10.4,1.33,10.81,4.73,999,1021.6,11.3,11.4,999.0,99.0,99.00
2012,01,02,10,50,150,7.3,9.0,1.34,4.76,4.74,999,1022.1,11.5,11.4,999.0,99.0,99.00
2012,01,02,11,50,178,7.1,8.6,1.30,12.90,4.92,999,1023.0,11.4,11.4,999.0,99.0,99.00
2012,01,02,12,50,133,6.9,8.0,1.32,12.12,5.00,999,1022.5,11.3,11.4,999.0,99.0,99.00
2012,01,02,13,50,145,5.8,7.4,1.21,10.00,4.99,999,1023.7,11.5,11.4,999.0,99.0,99.00
2012,01,02,14,50,129,5.0,6.1,1.08,12.12,4.97,999,1023.6,11.4,11.4,999.0,99.0,99.00
2012,01,02,15,50,128,4.7,5.7,1.16,11.43,5.18,999,1024.7,11.4,11.4,999.0,99.0,99.00
2012,01,02,16,50,125,5.8,6.7,1.15,12.12,5.51,999,1025.5,11.4,11.4,999.0,99.0,99.00
2012,01,02,17,50,131,5.2,6.9,1.03,12.12,5.18,999,1026.7,11.4,11.4,999.0,99.0,99.00
2012,01,02,18,50,126,5.0,6.1,1.13,12.12,5.41,999,1026.6,11.1,11.3,999.0,99.0,99.00
2012,01,02,19,50,125,3.4,4.1,1.19,11.43,6.21,999,1025.9,11.5,11.3,999.0,99.0,99.00
2012,01,02,20,50,123,2.6,3.3,1.16,11.43,6.31,999,1025.2,11.5,11.1,999.0,99.0,99.00
2012,01,02,21,50,137,2.7,4.1,1.38,10.00,7.23,999,1025.1,11.0,11.0,999.0,99.0,99.00
2012,01,02,22,50,114,3.1,4.1,1.38,10.81,7.27,999,1025.0,10.8,11.0,999.0,99.0,99.00
2012,01,02,23,50,113,2.3,3.0,1.77,10.00,8.03,999,1025.2,10.8,11.0,999.0,99.0,99.00
2012,01,03,00,50,216,0.4,0.8,1.75,10.81,7.97,999,1025.3,10.9,11.0,999.0,99.0,99.00
2012,01,03,01,50,237,0.7,1.4,2.08,10.00,8.14,999,1025.1,10.9,11.1,999.0,99.0,99.00
2012,01,03,02,50,316,1.5,2.1,2.01,10.81,7.81,999,1025.3,10.9,11.2,999.0,99.0,99.00
2012,01,03,03,50,291,3.6,4.6,2.34,10.81,8.62,999,1026.6,10.9,11.3,999.0,99.0,99.00
2012,01,03,04,50,303,3.1,3.9,2.37,10.81,8.87,999,1026.9,11.1,11.3,999.0,99.0,99.00
2012,01,03,05,50,316,3.3,5.0,2.47,10.00,8.80,999,1026.5,10.7,11.3,999.0,99.0,99.00
2012,01,03,06,50,330,3.9,5.1,2.28,10.00,8.80,999,1027.1,10.3,11.3,999.0,99.0,99.00
2012,01,03,07,50,317,3.0,4.9,2.36,10.00,8.91,999,1026.9,10.0,11.3,999.0,99.0,99.00
2012,01,03,08,50,318,5.5,7.1,2.54,12.90,9.39,999,1026.9,9.8,11.0,999.0,99.0,99.00
